id;zipcode;street_number;latitude;longitude;residents
ef118eb2-6b23-47dd-864d-c9c6d24e6145;"15946371";854;-21.21052129776796;-44.949906517981624;7
3abe26a4-6edd-440e-9e44-73e374e92601;"71007159";854;-21.265200397547605;-44.972900812492874;4
92112327-7703-451c-bcf9-79b972300f93;"80505672";854;-21.247126405170494;-44.97580934763365;4
3a47132b-e12f-4740-99e7-6058fae7ce38;"89277190";854;-21.21338215586526;-44.944705862651304;1
176bb106-8261-42d8-a996-bccde2eebfe4;"42582339";854;-21.222586255235778;-44.99440570744006;4
538bad66-f465-4e39-9144-cfe020241b04;"51175844";854;-21.2170962916563;-44.93228731792446;8
f3520944-4810-483b-a267-3ac4f803c09c;"60179142";854;-21.273167452317433;-44.916908940795444;1
14f281fb-e13f-4643-a25b-c54dac07a9de;"73228039";854;-21.240643119442008;-44.93809353275109;2
381c34e4-862f-4de4-a473-c25dd7448170;"86851698";854;-21.255318814705716;-44.9826587229738;6
b4789c8e-2d70-45b4-bd9e-661eb83ee946;"75484658";854;-21.270477341600542;-44.916057924131145;1
5451fd60-b45d-4c9e-b95c-e75998cc0a53;"15946371";854;-21.264401140514042;-44.973180773415116;7
b1c809a5-4b7f-4b56-8a32-2207adf76362;"71007159";854;-21.233172444039112;-44.93347659977433;4
d424a1e8-6c72-423b-aa38-d19b00698e0d;"80505672";854;-21.220258405176778;-44.96737199770713;4
dd5f96f9-4768-4886-a081-3bbcd417aeb5;"89277190";854;-21.26531718040686;-44.903272557406694;1
9365a649-7def-4f11-94fa-8fa8dd4b591a;"42582339";854;-21.217259186667863;-44.91634105507312;4
23ffe7e6-6675-463c-a5ba-139df1977f6f;"51175844";854;-21.279404292197042;-44.913728615721354;8
29a794ca-92e2-43e7-b18b-75983739d304;"60179142";854;-21.256035583050156;-44.92334372511041;1
a76b0873-2a18-4020-820e-e7ec16040625;"73228039";854;-21.260019423677295;-44.981844168337176;2
22e336c6-339c-4dc7-bc2a-d0bb7e3dd6a6;"86851698";854;-21.212226514119503;-44.99245929878596;6
f02ca853-1e4c-4847-a69b-9bb3633deef4;"75484658";854;-21.28978411062389;-44.96049073430222;1
917a866f-6996-43fd-b305-112baf3bfb0b;"15946371";854;-21.246321380584923;-44.906206809155606;7
e05faec5-5e7d-4e42-826e-35387db07f8f;"71007159";854;-21.257766078905696;-44.95849905059506;4
5ff94329-b78e-46a9-8ee7-99c75a559d41;"80505672";854;-21.267630012846055;-44.939563898633686;4
19fea3eb-e629-41ef-94f8-0ac74cd2d747;"89277190";854;-21.242379029285707;-44.98091463772892;1
74ce307b-3d24-4d84-a791-d0138ef485ca;"42582339";854;-21.279418056089806;-44.98566822837481;4
cdc0c28b-e413-496c-8322-ace05558019b;"51175844";854;-21.294219078581967;-44.98687756006055;8
